| time |   in   |load |address|  out   |
| 0+   |      0 |  0  |   0   |      0 |
| 1    |      0 |  0  |   0   |      0 |
| 1+   |      0 |  1  |   0   |      0 |
| 2    |      0 |  1  |   0   |      0 |
| 2+   |  11111 |  0  |   0   |      0 |
| 3    |  11111 |  0  |   0   |      0 |
| 3+   |  11111 |  1  |   1   |      0 |
| 4    |  11111 |  1  |   1   |      0 |
| 4+   |  11111 |  0  |   0   |      0 |
| 5    |  11111 |  0  |   0   |      0 |
| 5+   |   3333 |  0  |   3   |      0 |
| 6    |   3333 |  0  |   3   |      0 |
| 6+   |   3333 |  1  |   3   |      0 |
| 7    |   3333 |  1  |   3   |      0 |
| 7+   |   3333 |  0  |   3   |      0 |
| 8    |   3333 |  0  |   3   |      0 |
| 8    |   3333 |  0  |   1   |      0 |
| 8+   |   7777 |  0  |   1   |      0 |
| 9    |   7777 |  0  |   1   |      0 |
| 9+   |   7777 |  1  |   7   |      0 |
| 10   |   7777 |  1  |   7   |      0 |
| 10+  |   7777 |  0  |   7   |      0 |
| 11   |   7777 |  0  |   7   |      0 |
| 11   |   7777 |  0  |   3   |      0 |
| 11   |   7777 |  0  |   7   |      0 |
| 11+  |   7777 |  0  |   0   |      0 |
| 12   |   7777 |  0  |   0   |      0 |
| 12   |   7777 |  0  |   1   |      0 |
| 12   |   7777 |  0  |   2   |      0 |
| 12   |   7777 |  0  |   3   |      0 |
| 12   |   7777 |  0  |   4   |      0 |
| 12   |   7777 |  0  |   5   |      0 |
| 12   |   7777 |  0  |   6   |      0 |
| 12   |   7777 |  0  |   7   |      0 |
| 12+  |  21845 |  1  |   0   |      0 |
| 13   |  21845 |  1  |   0   |      0 |
| 13+  |  21845 |  1  |   1   |      0 |
| 14   |  21845 |  1  |   1   |      0 |
| 14+  |  21845 |  1  |   2   |      0 |
| 15   |  21845 |  1  |   2   |      0 |
| 15+  |  21845 |  1  |   3   |      0 |
| 16   |  21845 |  1  |   3   |      0 |
| 16+  |  21845 |  1  |   4   |      0 |
| 17   |  21845 |  1  |   4   |      0 |
| 17+  |  21845 |  1  |   5   |      0 |
| 18   |  21845 |  1  |   5   |      0 |
| 18+  |  21845 |  1  |   6   |      0 |
| 19   |  21845 |  1  |   6   |      0 |
| 19+  |  21845 |  1  |   7   |      0 |
| 20   |  21845 |  1  |   7   |      0 |
| 20+  |  21845 |  0  |   0   |      0 |
