| time |   in   |load |  out   |
| 0+   |      0 |  0  |      0 |
| 1    |      0 |  0  |      0 |
| 1+   |      0 |  1  |      0 |
| 2    |      0 |  1  |      0 |
| 2+   | -32123 |  0  |      0 |
| 3    | -32123 |  0  |      0 |
| 3+   |  11111 |  0  |      0 |
| 4    |  11111 |  0  |      0 |
| 4+   | -32123 |  1  |      0 |
| 5    | -32123 |  1  |      0 |
| 5+   | -32123 |  1  |      0 |
| 6    | -32123 |  1  |      0 |
| 6+   | -32123 |  0  |      0 |
| 7    | -32123 |  0  |      0 |
| 7+   |  12345 |  1  |      0 |
| 8    |  12345 |  1  |      0 |
| 8+   |      0 |  0  |      0 |
| 9    |      0 |  0  |      0 |
| 9+   |      0 |  1  |      0 |
| 10   |      0 |  1  |      0 |
| 10+  |      1 |  0  |      0 |
| 11   |      1 |  0  |      0 |
| 11+  |      1 |  1  |      0 |
| 12   |      1 |  1  |      0 |
| 12+  |      2 |  0  |      0 |
| 13   |      2 |  0  |      0 |
| 13+  |      2 |  1  |      0 |
| 14   |      2 |  1  |      0 |
| 14+  |      4 |  0  |      0 |
| 15   |      4 |  0  |      0 |
| 15+  |      4 |  1  |      0 |
| 16   |      4 |  1  |      0 |
| 16+  |      8 |  0  |      0 |
| 17   |      8 |  0  |      0 |
| 17+  |      8 |  1  |      0 |
| 18   |      8 |  1  |      0 |
| 18+  |     16 |  0  |      0 |
| 19   |     16 |  0  |      0 |
| 19+  |     16 |  1  |      0 |
| 20   |     16 |  1  |      0 |
| 20+  |     32 |  0  |      0 |
| 21   |     32 |  0  |      0 |
| 21+  |     32 |  1  |      0 |
| 22   |     32 |  1  |      0 |
| 22+  |     64 |  0  |      0 |
| 23   |     64 |  0  |      0 |
| 23+  |     64 |  1  |      0 |
| 24   |     64 |  1  |      0 |
| 24+  |    128 |  0  |      0 |
| 25   |    128 |  0  |      0 |
| 25+  |    128 |  1  |      0 |
| 26   |    128 |  1  |      0 |
| 26+  |    256 |  0  |      0 |
| 27   |    256 |  0  |      0 |
| 27+  |    256 |  1  |      0 |
| 28   |    256 |  1  |      0 |
| 28+  |    512 |  0  |      0 |
| 29   |    512 |  0  |      0 |
| 29+  |    512 |  1  |      0 |
| 30   |    512 |  1  |      0 |
| 30+  |   1024 |  0  |      0 |
| 31   |   1024 |  0  |      0 |
| 31+  |   1024 |  1  |      0 |
| 32   |   1024 |  1  |      0 |
| 32+  |   2048 |  0  |      0 |
| 33   |   2048 |  0  |      0 |
| 33+  |   2048 |  1  |      0 |
| 34   |   2048 |  1  |      0 |
| 34+  |   4096 |  0  |      0 |
| 35   |   4096 |  0  |      0 |
| 35+  |   4096 |  1  |      0 |
| 36   |   4096 |  1  |      0 |
